Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
Poynette School District,School Board Member,School Board Member School District of Poynette,2,Vern Karman,423,21.44,1962,0,04/05/22
Randolph School District,School Board Member,School Board Member Randolph School District,2,Wayne Vanderploeg,112,38.75,289,1,04/05/22
Randolph School District,School Board Member,School Board Member Randolph School District,2,Mike Biel,77,26.64,289,1,04/05/22
Randolph School District,School Board Member,School Board Member Randolph School District,2,Lindsay Vree,64,22.15,289,0,04/05/22
Randolph School District,School Board Member,School Board Member Randolph School District,2,Steve Rodriguez,36,12.46,289,0,04/05/22
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Andrea Becker,664,55.8,1190,1,04/05/22
Rio Community School District,School Board Member,School Board Member Rio Community School District,2,Beth Laufenberg,483,40.59,1190,1,04/05/22
Baraboo School District,School Board Member,School Board Member School District of Baraboo,3,Kevin H. Vodak,5,35.71,14,1,04/05/22
Baraboo School District,School Board Member,School Board Member School District of Baraboo,3,Katie Kalish,5,35.71,14,1,04/05/22
Baraboo School District,School Board Member,School Board Member School District of Baraboo,3,Mike Kohlman,4,28.57,14,1,04/05/22
Fall River School District,School Board Member,School Board Member Fall River School District,3,Guy Robbins,259,26.7,966,1,04/05/22
Fall River School District,School Board Member,School Board Member Fall River School District,3,Jeff Abegglen,246,25.36,966,1,04/05/22
Fall River School District,School Board Member,School Board Member Fall River School District,3,Ken Dickerson,214,22.06,966,1,04/05/22
Fall River School District,School Board Member,School Board Member Fall River School District,3,Kelly Remus,148,15.26,966,0,04/05/22
Fall River School District,School Board Member,School Board Member Fall River School District,3,Megan S. Jeranek,99,10.21,966,0,04/05/22
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Stephen Elmer,3,30.0,10,1,04/05/22
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Diana McFarland,3,30.0,10,1,04/05/22
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Latoya M. Holiday,2,20.0,10,1,04/05/22
Sun Prairie Area School District,School Board Member,School Board Member Sun Prairie Area School District,3,Steven Schroeder,2,20.0,10,0,04/05/22
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Marc Chip Berger,332,98.52,337,1,04/05/22
Cambria-Friesland School District,School Board Member,School Board Member Cambria-friesland School District,1,Tammy Schepp,332,99.4,332,1,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,3,Ryan Weis,70,26.32,265,1,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,3,Jan Berg,68,25.56,265,1,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,3,Gussie Lewis,67,25.19,265,1,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,3,Brian Coker,60,22.56,265,0,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Megan Taylor,79,45.4,174,1,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Keri Brunelle,56,32.18,174,1,04/05/22
DeForest Area School District,School Board Member,School Board Member Deforest Area School District,2,Stephanie Sarr,37,21.26,174,0,04/05/22
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Laura Jackowski-Baggett,4,57.14,7,1,04/05/22
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Sara Lemke,7,100.0,7,1,04/05/22
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Dennis Grahn,6,85.71,7,1,04/05/22
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,David Cotterill,1,14.29,7,0,04/05/22
Markesan District Schools,School Board Member,School Board Member Markesan District Schools,1,Joan M. Frederick,7,100.0,7,1,04/05/22
Portage Community School District,School Board Member,School Board Member Portage Community School District,2,Mark Fahey,1740,54.0,3222,1,04/05/22
